district,trump16_margin,obama12_margin,house_dem18_margin,house_dem_avg_margin,rpt,incumbent_party,safety,house_dem20_margin,house20_winner,govtrack_ideology,last_name
CA-22,0.095,-0.15,-0.054443090399723,-0.2710099693606915,1.0,R,Safe,-0.084,Rep,0.4576209361961085,b'Nunes'
CA-23,0.22,-0.254,-0.2743398096941304,-0.4717117636496684,0.66,R,Safe,-0.1659999999999999,Rep,0.4153197890084873,b'McCarthy'
CA-24,-0.202,0.11,0.1711100407480197,0.0949949343143107,0.81,D,Safe,0.214,Dem,0.2653938296007986,b'Carbajal'
CA-26,-0.2189999999999999,0.1029999999999999,0.2388402120379287,0.1317245893923894,0.87,D,Safe,0.2279999999999999,Dem,0.2064226694557148,b'Brownley'
CA-27,-0.376,0.276,0.7920803805839042,0.4017959534940075,0.92,D,Safe,0.408,Dem,0.1411789861190456,b'Chu'
CA-28,-0.498,0.4379999999999999,0.5674400439956324,0.6054683644964634,0.9,D,Safe,0.4659999999999999,Dem,0.1993930023868959,b'Schiff'
CA-29,-0.6090000000000001,0.565,0.6121971401236004,0.6480756988192372,0.85,D,Safe,0.574,Dem,0.2164945814410205,b'C\xc3\xa1rdenas'
CA-30,-0.4339999999999999,0.3319999999999999,0.4680317096627113,0.4591517435316519,0.89,D,Safe,0.3980000000000001,Dem,0.318143254128756,b'Sherman'
CA-31,-0.211,0.166,0.1748899970665884,-0.0552262874299945,0.76,D,Safe,0.242,Dem,0.2598902130332805,b'Aguilar'
CA-32,-0.3889999999999999,0.327,0.3755669910919557,0.3746062910537661,0.88,D,Safe,0.3219999999999999,Dem,0.1454668288068382,b'Napolitano'
CA-33,-0.413,0.238,0.4005689445758486,0.3631671700334827,0.85,D,Safe,0.3619999999999999,Dem,0.2158510504266607,b'Lieu'
CA-34,-0.7289999999999999,0.6890000000000001,0.7254157176148408,0.7337288522771915,0.89,D,Safe,0.529,Dem,0.2017886005484572,b'Gomez'
CA-35,-0.408,0.368,0.3879643547348078,0.5072201386266546,0.78,D,Safe,0.3980000000000001,Dem,0.2502764968628035,b'Torres'
CA-36,-0.088,0.032,0.1803311949296646,0.1409696300273934,0.65,D,Safe,0.2319999999999999,Dem,0.3185839955913324,b'Ruiz'
CA-37,-0.7610000000000001,0.722,0.781510969717994,0.7516875783740509,0.82,D,Safe,0.7280000000000001,Dem,0.1339968064182146,b'Bass'
CA-38,-0.396,0.319,0.3770355566987871,0.3298250442072443,0.81,D,Safe,0.743,Dem,0.2168445327530021,b'S\xc3\xa1nchez'
CA-39,-0.086,-0.0369999999999999,0.0311424631638386,-0.1600318601263749,1.0,D,Safe,-0.01,Rep,0.3092265257691083,b'Cisneros'
CA-40,-0.6940000000000001,0.65,0.7734769327042627,0.671963626518051,0.79,D,Safe,0.462,Dem,0.1410417814576079,b'Roybal-Allard'
CA-41,-0.2789999999999999,0.252,0.3019946104614792,0.2283092773825157,0.61,D,Safe,0.288,Dem,0.1655193346069716,b'Takano'
CA-42,0.12,-0.151,-0.1299863753169032,-0.2082658153411953,0.67,R,Safe,-0.1159999999999999,Rep,0.6478229577716129,b'Calvert'
CA-43,-0.617,0.58,0.5533837961357191,0.5516585917873742,0.89,D,Safe,0.442,Dem,0.1854266731496698,b'Waters'
CA-44,-0.7070000000000001,0.7110000000000001,0.6833842675932515,0.6685222199712881,0.8,D,Safe,0.687,Dem,0.1763253679478022,b'Barrag\xc3\xa1n'
CA-45,-0.0539999999999999,-0.1179999999999999,0.0410201481219434,-0.1504374961063878,1.0,D,Safe,0.072,Dem,0.2425267622942522,b'Porter'
CA-46,-0.384,0.2519999999999999,0.3829200356959355,0.3886475437494183,1.0,D,Safe,0.3759999999999999,Dem,0.3250948599459033,b'Correa'
CA-47,-0.316,0.225,0.2971099730360665,0.2056281609852054,0.93,D,Safe,0.258,Dem,0.1136903434365055,b'Lowenthal'
CA-48,-0.0169999999999999,-0.117,0.0710398458281309,-0.1493414816289145,1.0,D,Vulnerable,-0.018,Rep,0.3366821683567094,b'Rouda'
CA-49,-0.075,-0.065,0.1283801647290106,-0.0608698961568751,1.0,D,Safe,0.068,Dem,0.2777405895161412,b'Levin'
CA-50,0.15,-0.2279999999999999,-0.0343096878488125,-0.2702830722601115,0.99,R,Vulnerable,-0.0759999999999999,Rep,0.6387913723374805,b'Hunter'
CA-51,-0.49,0.4050000000000001,0.424019034246041,0.4211114859308644,0.91,D,Safe,0.4019999999999999,Dem,0.2488537899437141,b'Vargas'
CA-52,-0.225,0.0639999999999999,0.2769427750019425,0.1157056731581618,1.0,D,Safe,0.234,Dem,0.3501412675368973,b'Peters'
CA-53,-0.349,0.25,0.3814817295028907,0.2817569849692054,0.91,D,Safe,0.595,Dem,0.2577886867079768,b'Davis'
CO-1,-0.4579999999999999,0.402,0.5076617625976149,0.4230649269063993,0.86,D,Safe,0.512,Dem,0.2261630532629887,b'DeGette'
CO-2,-0.213,0.184,0.266380099114288,0.1923734016359207,0.9,D,Safe,0.2569999999999999,Dem,0.287575495223786,b'Neguse'
CO-3,0.12,-0.06,-0.0796545990499392,-0.1419719377240505,0.93,R,Vulnerable,-0.059,Rep,0.7267840206464988,b'Tipton'
CO-4,0.231,-0.1929999999999999,-0.2123858845939466,-0.2756455591641893,0.98,R,Safe,-0.236,Rep,0.6676754553451201,b'Buck'
CO-5,0.24,-0.208,-0.1771420601589983,-0.3342969641967522,0.97,R,Safe,-0.203,Rep,0.7796843868394067,b'Lamborn'
CO-6,-0.089,0.051,0.1123186002992933,-0.0200471927660184,0.96,D,Safe,0.171,Dem,0.3268905843486029,b'Crow'
CO-7,-0.12,0.148,0.2500724839204037,0.1581597355273963,0.95,D,Safe,0.2149999999999999,Dem,0.3308259127707708,b'Perlmutter'
CT-1,-0.231,0.2769999999999999,0.2558218428540161,0.2779729974579272,0.95,D,Safe,0.291,Dem,0.2824012352004532,b'Larson'
CT-2,-0.029,0.1329999999999999,0.2254335659981876,0.2532643415288874,0.96,D,Safe,0.2119999999999999,Dem,0.3325850605575571,b'Courtney'
CT-3,-0.155,0.263,0.2499417182568023,0.3185007107877374,0.96,D,Safe,0.187,Dem,0.219311609836612,b'DeLauro'
CT-4,-0.23,0.111,0.2378043250341918,0.1720322041403688,0.98,D,Safe,0.262,Dem,0.2832739790810019,b'Himes'
CT-5,-0.041,0.082,0.1025441137351107,0.0807335840857917,0.96,D,Safe,0.116,Dem,0.1594059664522689,b'Hayes'
DE-AL,-0.115,0.186,0.2890793990990454,0.2423381771938764,0.98,D,Safe,0.174,Dem,0.2909633940720097,b'Blunt Rochester'
FL-1,0.3929999999999999,-0.384,-0.3411727483653237,-0.4039199649345278,0.93,R,Safe,-0.3059999999999999,Rep,0.8953404418487549,b'Gaetz'
FL-2,0.356,-0.3059999999999999,-0.3488266659448926,-0.1914805897067649,0.92,R,Safe,-0.926,Rep,0.7022259653094648,b'Dunn'
FL-3,0.16,-0.147,-0.1524848611401127,-0.2424502844212166,0.9,R,Safe,-0.142,Rep,0.7872949694299718,b'Yoho'
FL-4,0.28,-0.3329999999999999,-0.3280506965264171,-0.5743302800128899,0.97,R,Safe,-0.2219999999999999,Rep,0.7785953597623896,b'Rutherford'
FL-5,-0.254,0.282,0.3356243942499057,0.3437014822850157,0.87,D,Safe,0.3019999999999999,Dem,0.2653967767922264,b'Lawson'
FL-6,0.17,-0.056,-0.1262794133955144,-0.1732461284480077,0.93,R,Safe,-0.213,Rep,0.7025162939336933,b'Waltz'
FL-7,-0.0729999999999999,0.0,0.1538383984776212,-0.076338075553267,0.9,D,Safe,0.1209999999999998,Dem,0.4064118288500619,b'Murphy'
FL-8,0.2069999999999999,-0.145,-0.2099620832836375,-0.2615508465629319,0.92,R,Safe,-0.2279999999999999,Rep,0.8171694320040108,b'Posey'
FL-9,-0.1289999999999999,0.122,0.1604349979948574,0.1672815139195306,0.97,D,Safe,0.121,Dem,0.2113216969662516,b'Soto'
FL-10,-0.2689999999999999,0.223,1.0,0.2579182435637078,0.96,D,Safe,0.273,Dem,0.2117822692749071,b'Demings'
FL-11,0.3229999999999999,-0.194,-0.3029664821798827,-0.3158502102168531,0.93,R,Safe,-0.3340000000000001,Rep,0.6536320003331082,b'Webster'
FL-12,0.186,-0.075,-0.184283914271553,-0.4653758365808184,0.96,R,Safe,-0.258,Rep,0.7537110157015621,b'Bilirakis'
FL-13,-0.032,0.107,0.152894113341599,-0.1781588215929463,0.9,D,Safe,0.061,Dem,0.3166974628517845,b'Crist'
FL-14,-0.182,0.1639999999999999,1.0,0.6601831854966074,0.91,D,Safe,0.2059999999999999,Dem,0.2043073905674135,b'Castor'
FL-15,0.1,-0.056,-0.0604065393721194,-0.3538141485298978,0.94,R,Vulnerable,-0.1079999999999999,Rep,0.7692620495816866,b'Spano'
FL-16,0.107,-0.086,-0.0912290783708067,-0.1476007222297493,0.98,R,Safe,-0.11,Rep,0.541036900487224,b'Buchanan'
FL-17,0.272,-0.163,-0.245175834084761,-0.239549474584941,0.94,R,Safe,-0.3049999999999999,Rep,0.8240149193464387,b'Steube'
FL-18,0.0919999999999999,-0.0369999999999999,-0.0860237353187736,0.0025397621280646,0.94,R,Safe,-0.1479999999999999,Rep,0.6901355528455565,b'Mast'
FL-19,0.221,-0.2179999999999999,-0.2454572491144175,-0.2857264797924385,0.94,R,Safe,-0.2249999999999999,Rep,0.5933281053754351,b'Rooney'
FL-20,-0.621,0.654,0.9991864868062952,0.779125379964044,0.9,D,Safe,0.5740000000000001,Dem,0.1527088625834786,b'Hastings'
FL-21,-0.195,0.215,1.0,0.7624697054818239,0.93,D,Safe,0.1989999999999999,Dem,0.275667117169464,b'Frankel'
FL-22,-0.1579999999999999,0.1329999999999999,0.2404739269625742,0.168095818115202,0.91,D,Safe,0.172,Dem,0.2933573154665158,b'Deutch'
